theme_id,theme_name,description,weight,keywords
prevenient-grace,Prevenient Grace,"God's grace that precedes and enables the first stirrings toward faith; universal grace given to all humanity",1.0,"prevenient,preventing grace,grace that goes before,natural conscience,light given to every man"
justifying-grace,Justifying Grace,"Pardon of sins and acceptance by God through faith; the moment of conversion",1.0,"justification,pardon,forgiveness,faith alone,imputed righteousness,new birth"
sanctifying-grace,Sanctifying Grace,"The ongoing work of grace that transforms believers toward holiness",1.0,"sanctification,holiness,growth in grace,transformed,renewed,holy living"
christian-perfection,Christian Perfection,"Being made perfect in love in this life; entire sanctification",1.0,"perfect love,christian perfection,entire sanctification,pure love,perfected,sin no more dominion"
free-will,Free Will,"Human agency in responding to or rejecting God's grace; rejection of unconditional predestination",0.9,"free will,liberty,choice,resist grace,predestination rejected,synergism"
means-of-grace,Means of Grace,"Instituted and prudential means through which grace is conveyed",0.9,"means of grace,ordinances,prayer,scripture,lord's supper,fasting,christian conference,class meeting"
social-holiness,Social Holiness,"No holiness but social holiness; faith lived in community and expressed in society",0.9,"social holiness,no solitary religion,no solitary christian,love one another,one heart and one soul,christian fellowship,christian community"
works-mercy,Works of Mercy,"Acts of compassion and justice toward those in need",0.8,"works of mercy,feed the hungry,clothe the naked,visit the sick,visit the prisoner,relieve the poor,acts of mercy,doing good to all"
works-piety,Works of Piety,"Personal devotional practices that nurture the soul",0.8,"works of piety,searching the scriptures,private prayer,public prayer,fasting,devotion,means he hath ordained"
assurance,Assurance,"The inner witness of the Spirit confirming one's salvation",0.9,"assurance,witness of the spirit,know that we are children,inward witness,testimony"
scriptural-authority,Scriptural Authority,"Scripture as the primary authority for faith and practice",0.8,"scripture,word of god,bible,sola scriptura,written word,revelation"
catholic-spirit,Catholic Spirit,"Unity in essentials while allowing diversity in opinions and modes of worship",0.7,"catholic spirit,unity,opinions,modes of worship,essentials,love united"
experience,Religious Experience,"The felt experience of God's grace; heart religion vs. mere formalism",0.8,"experience of god,heart strangely warmed,religion of the heart,experimental religion,felt his presence,inward religion,heart religion"
universal-redemption,Universal Redemption,"Christ died for all people, not just the elect",0.9,"universal redemption,died for all,for all mankind,whosoever,unlimited atonement,saviour of all,sins of the whole world,tasted death for every man"
reign-of-god,Reign of God,"The kingdom of God present and coming; God's rule over all creation and in human hearts",0.9,"kingdom of god,kingdom of heaven,thy kingdom come,reign of god,god reigneth,dominion of god,kingdom within"
primitive-christianity,Primitive Christianity,"Return to the faith and practice of the early church; apostolic Christianity",0.8,"primitive,early church,apostolic,first christians,ancient,original christianity,acts of the apostles"
communion,Communion,"The Lord's Supper as a means of grace; eucharistic theology and practice",0.9,"communion,lord's supper,eucharist,sacrament,bread and wine,body and blood,table of the lord"
repentance,Repentance,"Turning from sin toward God; conviction of sin and amendment of life",0.9,"repentance,repent,conviction,turn,amendment,sorrow for sin,contrition,flee from the wrath"
trinity,Trinity,"The triune nature of God as Father, Son, and Holy Spirit",0.8,"trinity,triune,father son and holy ghost,three persons,godhead,three-one"
christology,Christology,"The person and work of Jesus Christ; incarnation, atonement, resurrection",1.0,"son of god,saviour of the world,redeemer,atonement,incarnation,resurrection,lamb of god,mediator,blood of christ,merits of christ,death of christ,propitiation"
pneumatology,Pneumatology,"The person and work of the Holy Spirit; gifts, fruits, and indwelling of the Spirit",0.9,"holy ghost,holy spirit,spirit of god,spirit of christ,fruits of the spirit,gifts of the spirit,indwelling,pentecost"
